text,canonical_form_1,category_1,severity_rating,severity_description
bradyphrenia,bradyphrenia,no insult,0.0,None
motherfukkings,motherfucker,sexual anatomy / sexual acts,2.6,Severe
hakdar,hakdar,no insult,0.0,None
screwfly,screwfly,no insult,0.0,None
useless,useless,no insult,0.0,None
double-sided,double-sided,no insult,0.0,None
odometers,odometers,no insult,0.0,None
epicardia,epicardia,no insult,0.0,None
militarization,militarization,no insult,0.0,None
armsize,armsize,no insult,0.0,None
Denton,Denton,no insult,0.0,None
brinier,brinier,no insult,0.0,None
dirty sanchez,dirty sanchez,sexual anatomy / sexual acts,2.4,Strong
summerless,summerless,no insult,0.0,None
dix,dick,sexual anatomy / sexual acts,1.0,Mild
hales,hales,no insult,0.0,None
lymphadenome,lymphadenome,no insult,0.0,None
cankereat,cankereat,no insult,0.0,None
assfuckerz,fuck,sexual anatomy / sexual acts,2.4,Strong
glass-colored,glass-colored,no insult,0.0,None
sh1tsome,shit,bodily fluids / excrement,1.2,Mild
house-raising,house-raising,no insult,0.0,None
Wendish,Wendish,no insult,0.0,None
nobj0key,knob,sexual anatomy / sexual acts,1.8,Strong
Bahai,Bahai,no insult,0.0,None
cuntless,cunt,sexual anatomy / sexual acts,2.8,Severe
Tybalt,Tybalt,no insult,0.0,None
Bratwurst,Bratwurst,no insult,0.0,None
greennesses,greennesses,no insult,0.0,None
mat's,mat's,no insult,0.0,None
tectorial,tectorial,no insult,0.0,None
millionfold,millionfold,no insult,0.0,None
mongoloid,mongoloid,racial / ethnic slurs,2.2,Strong
nigg3r,nigger,racial / ethnic slurs,3.0,Severe
cock munch,cock,sexual anatomy / sexual acts,2.0,Strong
motherfacking,motherfucker,sexual anatomy / sexual acts,2.4,Strong
phuck3r,fuck,sexual anatomy / sexual acts,1.8,Strong
Lindemann,Lindemann,no insult,0.0,None
toshes,toshes,no insult,0.0,None
shitefuck,fuck,sexual anatomy / sexual acts,1.6,Strong
cataclysmic,cataclysmic,no insult,0.0,None
unspeered,unspeered,no insult,0.0,None
ETA,ETA,no insult,0.0,None
j3rk,jerk,other / general insult,1.0,Mild
fertilisability,fertilisability,no insult,0.0,None
lacier,lacier,no insult,0.0,None
silicane,silicane,no insult,0.0,None
cunty,cunt,sexual anatomy / sexual acts,2.8,Severe
twat,twat,sexual anatomy / sexual acts,1.8,Strong
window licker,window licker,mental disability,1.8,Strong
dicks,dick,sexual anatomy / sexual acts,1.0,Mild
enarthrodial,enarthrodial,no insult,0.0,None
ptoses,ptoses,no insult,0.0,None
4skin,foreskin,sexual anatomy / sexual acts,1.0,Mild
Karst,Karst,no insult,0.0,None
Alexandretta,Alexandretta,no insult,0.0,None
nonmercenaries,nonmercenaries,no insult,0.0,None
packingfudge,fudge packer,sexual anatomy / sexual acts,2.4,Strong
ICB,ICB,no insult,0.0,None
chokedamp,chokedamp,no insult,0.0,None
scride,scride,no insult,0.0,None
phuck,fuck,sexual anatomy / sexual acts,2.2,Strong
Westphal,Westphal,no insult,0.0,None
dickless,dick,sexual anatomy / sexual acts,1.4,Mild
comports,comports,no insult,0.0,None
gaum,gaum,no insult,0.0,None
glops,glops,no insult,0.0,None
tuberculatogibbous,tuberculatogibbous,no insult,0.0,None
ungiftedness,ungiftedness,no insult,0.0,None
Tzental,Tzental,no insult,0.0,None
nonmysticalness,nonmysticalness,no insult,0.0,None
chromites,chromites,no insult,0.0,None
typefoundry,typefoundry,no insult,0.0,None
copper-smelting,copper-smelting,no insult,0.0,None
Kincardine,Kincardine,no insult,0.0,None
Semecarpus,Semecarpus,no insult,0.0,None
race-wide,race-wide,no insult,0.0,None
insuppressibility,insuppressibility,no insult,0.0,None
smokehouses,smokehouses,no insult,0.0,None
versor,versor,no insult,0.0,None
butt-fucking-bandit,fuck,sexual anatomy / sexual acts,2.6,Severe
phylloquinone,phylloquinone,no insult,0.0,None
Polyclitus,Polyclitus,no insult,0.0,None
Scand,Scand,no insult,0.0,None
limitableness,limitableness,no insult,0.0,None
shiester,shiester,racial / ethnic slurs,2.0,Strong
endenize,endenize,no insult,0.0,None
guaiacum,guaiacum,no insult,0.0,None
chorology,chorology,no insult,0.0,None
microptic,microptic,no insult,0.0,None
externalise,externalise,no insult,0.0,None
unagreeing,unagreeing,no insult,0.0,None
slutty,slut,sexual orientation / gender,1.8,Strong
unsupported,unsupported,no insult,0.0,None
lustrated,lustrated,no insult,0.0,None
concludendi,concludendi,no insult,0.0,None
lip's,lip's,no insult,0.0,None
carabidan,carabidan,no insult,0.0,None
abbie,abraham,racial / ethnic slurs,1.2,Mild
Jerrome,Jerrome,no insult,0.0,None
bitchin,bitch,other / general insult,1.2,Mild
lutanists,lutanists,no insult,0.0,None
predespicable,predespicable,no insult,0.0,None
Eskualdun,Eskualdun,no insult,0.0,None
knobend,knob,sexual anatomy / sexual acts,1.2,Mild
gridelin,gridelin,no insult,0.0,None
crenae,crenae,no insult,0.0,None
crates,crates,no insult,0.0,None
Phycodromidae,Phycodromidae,no insult,0.0,None
quebrachitol,quebrachitol,no insult,0.0,None
croqueting,croqueting,no insult,0.0,None
trellis-framed,trellis-framed,no insult,0.0,None
finger,finger,sexual anatomy / sexual acts,1.0,Mild
lymphangiomatous,lymphangiomatous,no insult,0.0,None
bancales,bancales,no insult,0.0,None
contemptuous,contemptuous,no insult,0.0,None
penisfuccer,penis,sexual anatomy / sexual acts,2.8,Severe
morello,morello,no insult,0.0,None
dick fucker,fuck,sexual anatomy / sexual acts,2.8,Severe
shitty,shit,bodily fluids / excrement,1.0,Mild
archgunner,archgunner,no insult,0.0,None
douche bag,douche,other / general insult,1.0,Mild
bowssen,bowssen,no insult,0.0,None
six-gallon,six-gallon,no insult,0.0,None
ferrite,ferrite,no insult,0.0,None
repatrolling,repatrolling,no insult,0.0,None
bwc,cock,sexual anatomy / sexual acts,1.4,Mild
sun-blackened,sun-blackened,no insult,0.0,None
unprovidential,unprovidential,no insult,0.0,None
notary,notary,no insult,0.0,None
tard asses,ass,sexual anatomy / sexual acts,3.0,Severe
tautochronous,tautochronous,no insult,0.0,None
threnodies,threnodies,no insult,0.0,None
itched,itched,no insult,0.0,None
bullishly,bullishly,no insult,0.0,None
cocash,cocash,no insult,0.0,None
Pilger,Pilger,no insult,0.0,None
ass hole,ass,sexual anatomy / sexual acts,1.2,Mild
slantard,retard,racial / ethnic slurs,2.8,Severe
apeshite,ape,bodily fluids / excrement,1.4,Mild
dicacodyl,dicacodyl,no insult,0.0,None
milling,milling,no insult,0.0,None
life-renewing,life-renewing,no insult,0.0,None
resensitizing,resensitizing,no insult,0.0,None
oilcan,oilcan,no insult,0.0,None
suck,suck,sexual anatomy / sexual acts,1.0,Mild
nearby,nearby,no insult,0.0,None
mother fuckers,motherfucker,sexual anatomy / sexual acts,3.0,Severe
quasi-idealistically,quasi-idealistically,no insult,0.0,None
galaxies,galaxies,no insult,0.0,None
underestimated,underestimated,no insult,0.0,None
haltering,haltering,no insult,0.0,None
blowzing,blowzing,no insult,0.0,None
fvck,fuck,sexual anatomy / sexual acts,1.8,Strong
tubbiest,tubbiest,no insult,0.0,None
xyloidin,xyloidin,no insult,0.0,None
Broderick,Broderick,no insult,0.0,None
NBS,NBS,no insult,0.0,None
reconfusing,reconfusing,no insult,0.0,None
lpm,lpm,no insult,0.0,None
cardcases,cardcases,no insult,0.0,None
epical,epical,no insult,0.0,None
Progressive,Progressive,no insult,0.0,None
paniculately,paniculately,no insult,0.0,None
fuck up,fuck,sexual anatomy / sexual acts,1.8,Strong
Halverson,Halverson,no insult,0.0,None
Equanil,Equanil,no insult,0.0,None
Lenca,Lenca,no insult,0.0,None
well-wigged,well-wigged,no insult,0.0,None
Katina,Katina,no insult,0.0,None
melodramatical,melodramatical,no insult,0.0,None
leptoprosope,leptoprosope,no insult,0.0,None
aminopropionic,aminopropionic,no insult,0.0,None
zooplankton,zooplankton,no insult,0.0,None
niggazzes,nigger,racial / ethnic slurs,2.8,Severe
assfkcer,ass,sexual anatomy / sexual acts,2.6,Severe
g@y b1tch,bitch,sexual orientation / gender,2.6,Severe
buffeted,buffeted,no insult,0.0,None
motherfuckkas,motherfucker,sexual anatomy / sexual acts,3.0,Severe
desmocytoma,desmocytoma,no insult,0.0,None
spoilment,spoilment,no insult,0.0,None
quaverers,quaverers,no insult,0.0,None
archidoxis,archidoxis,no insult,0.0,None
knobjokeys,knob,sexual anatomy / sexual acts,1.8,Strong
pyrroles,pyrroles,no insult,0.0,None
scombrine,scombrine,no insult,0.0,None
scance,scance,no insult,0.0,None
exospheres,exospheres,no insult,0.0,None
fresser,fresser,no insult,0.0,None
Altro,Altro,no insult,0.0,None
pachoulis,pachoulis,no insult,0.0,None
Aparai,Aparai,no insult,0.0,None
full-ripe,full-ripe,no insult,0.0,None
fore-deck,fore-deck,no insult,0.0,None
menageries,menageries,no insult,0.0,None
Walkerville,Walkerville,no insult,0.0,None
recomply,recomply,no insult,0.0,None
toggled,toggled,no insult,0.0,None
groid,groid,racial / ethnic slurs,2.0,Strong
motherfvckeds,motherfucker,sexual anatomy / sexual acts,2.2,Strong
tormae,tormae,no insult,0.0,None
unclericalize,unclericalize,no insult,0.0,None
jewboy,jew,racial / ethnic slurs,2.8,Severe
Torruella,Torruella,no insult,0.0,None
jiggaboo,jiggaboo,racial / ethnic slurs,3.0,Severe
cocksuccers,cock,sexual anatomy / sexual acts,2.2,Strong
spider-like,spider-like,no insult,0.0,None
overlushness,overlushness,no insult,0.0,None
mild-tempered,mild-tempered,no insult,0.0,None
absarokite,absarokite,no insult,0.0,None
anterograde,anterograde,no insult,0.0,None
hyperoxygenize,hyperoxygenize,no insult,0.0,None
shitting,shit,bodily fluids / excrement,1.4,Mild
systemiser,systemiser,no insult,0.0,None
frostbow,frostbow,no insult,0.0,None
Necrophorus,Necrophorus,no insult,0.0,None
higga,nigger,racial / ethnic slurs,2.8,Severe
tanystomatous,tanystomatous,no insult,0.0,None
setts,setts,no insult,0.0,None
to,to,no insult,0.0,None
Bohol,Bohol,no insult,0.0,None
dick smoker,dick,sexual anatomy / sexual acts,2.4,Strong
motherfvckers,motherfucker,sexual anatomy / sexual acts,2.8,Severe
W.I.,W.I.,no insult,0.0,None
bollox,bollocks,sexual anatomy / sexual acts,1.0,Mild
Kilkenny,Kilkenny,no insult,0.0,None
colorectostomy,colorectostomy,no insult,0.0,None
sheepbacks,sheepbacks,no insult,0.0,None
thereology,thereology,no insult,0.0,None
Ancona,Ancona,no insult,0.0,None
nemophilous,nemophilous,no insult,0.0,None
queerasses,queer,sexual orientation / gender,3.0,Severe
well-accented,well-accented,no insult,0.0,None
klan,klan,racial / ethnic slurs,1.8,Strong
extended-play,extended-play,no insult,0.0,None
penisfvckers,penis,sexual anatomy / sexual acts,2.8,Severe
Vernal,Vernal,no insult,0.0,None
cyberfvcks,fuck,sexual anatomy / sexual acts,2.2,Strong
unpurposive,unpurposive,no insult,0.0,None
AFL,AFL,no insult,0.0,None
rim job,rim job,sexual anatomy / sexual acts,2.0,Strong
ringbarker,ringbarker,no insult,0.0,None
spandril,spandril,no insult,0.0,None
nobjockies,knob,sexual anatomy / sexual acts,1.8,Strong
palpifer,palpifer,no insult,0.0,None
interstriven,interstriven,no insult,0.0,None
condenser,condenser,no insult,0.0,None
Keraterpeton,Keraterpeton,no insult,0.0,None
decanol,decanol,no insult,0.0,None
shitfacefuck,fuck,sexual anatomy / sexual acts,2.8,Severe
eudaemonist,eudaemonist,no insult,0.0,None
meat curtains,meat curtains,sexual anatomy / sexual acts,2.0,Strong
shmale,shemale,sexual orientation / gender,1.4,Mild
unsharable,unsharable,no insult,0.0,None
invertebral,invertebral,no insult,0.0,None
Gladi,Gladi,no insult,0.0,None
nivenite,nivenite,no insult,0.0,None
adderfish,adderfish,no insult,0.0,None
kerflap,kerflap,no insult,0.0,None
counterremonstrant,counterremonstrant,no insult,0.0,None
whomble,whomble,no insult,0.0,None
fingerprinting,fingerprinting,no insult,0.0,None
under-chap,under-chap,no insult,0.0,None
orderliness,orderliness,no insult,0.0,None
airbursts,airbursts,no insult,0.0,None
knucks,knucks,no insult,0.0,None
predetermines,predetermines,no insult,0.0,None
mofuccers,motherfucker,sexual anatomy / sexual acts,2.4,Strong
myographs,myographs,no insult,0.0,None
eucleid,eucleid,no insult,0.0,None
interdictions,interdictions,no insult,0.0,None
conk,conk,no insult,0.0,None
typ,typ,no insult,0.0,None
copse-covered,copse-covered,no insult,0.0,None
Imbros,Imbros,no insult,0.0,None
k1ke,kike,racial / ethnic slurs,2.8,Severe
Glenville,Glenville,no insult,0.0,None
nigg3rs,nigger,racial / ethnic slurs,3.0,Severe
defiable,defiable,no insult,0.0,None
pantomorphia,pantomorphia,no insult,0.0,None
furanoses,furanoses,no insult,0.0,None
nonmechanistic,nonmechanistic,no insult,0.0,None
MASB,MASB,no insult,0.0,None
unwalked,unwalked,no insult,0.0,None
faggy,faggot,sexual orientation / gender,3.0,Severe
k!ke,kike,racial / ethnic slurs,3.0,Severe
germaneness,germaneness,no insult,0.0,None
buddhi,buddhi,no insult,0.0,None
undiffused,undiffused,no insult,0.0,None
mothter fuck,motherfucker,sexual anatomy / sexual acts,3.0,Severe
kneegrows,negro,racial / ethnic slurs,2.8,Severe
songkok,songkok,no insult,0.0,None
gunge,gunge,no insult,0.0,None
mothaf@cked,motherfucker,sexual anatomy / sexual acts,2.6,Severe
vei,vei,no insult,0.0,None
dickfucker,dick,sexual anatomy / sexual acts,2.8,Severe
discussion,discussion,no insult,0.0,None
f0ck,fuck,sexual anatomy / sexual acts,2.0,Strong
undisowned,undisowned,no insult,0.0,None
prostatovesiculitis,prostatovesiculitis,no insult,0.0,None
Vici,Vici,no insult,0.0,None
C,C,no insult,0.0,None
d1cksukka,dick,sexual anatomy / sexual acts,2.0,Strong
ratifying,ratifying,no insult,0.0,None
protreasurer,protreasurer,no insult,0.0,None
tantalising,tantalising,no insult,0.0,None
hazelnuts,hazelnuts,no insult,0.0,None
goodlike,goodlike,no insult,0.0,None
coarse-haired,coarse-haired,no insult,0.0,None
Skeltonics,Skeltonics,no insult,0.0,None
dogshits,shit,bodily fluids / excrement,1.4,Mild
fcuking,fuck,sexual anatomy / sexual acts,2.2,Strong
Knesseth,Knesseth,no insult,0.0,None
boxed-in,boxed-in,no insult,0.0,None
centrefold,centrefold,no insult,0.0,None
fuckers,fuck,sexual anatomy / sexual acts,2.4,Strong
avouching,avouching,no insult,0.0,None
Schwyz,Schwyz,no insult,0.0,None
slanteye b1tch,bitch,racial / ethnic slurs,2.6,Severe
zootheism,zootheism,no insult,0.0,None
cockmunch,cock,sexual anatomy / sexual acts,2.2,Strong
doting,doting,no insult,0.0,None
portugais,portugais,no insult,0.0,None
slanteyes,slant eye,racial / ethnic slurs,3.0,Severe
auf,auf,no insult,0.0,None
bitch3s,bitch,sexual orientation / gender,1.2,Mild
m0thafucking,motherfucker,sexual anatomy / sexual acts,2.8,Severe
unreproachably,unreproachably,no insult,0.0,None
trasherbitch,bitch,sexual orientation / gender,1.4,Mild
stationmaster,stationmaster,no insult,0.0,None
assmunch,ass,sexual anatomy / sexual acts,1.8,Strong
unprecipitatively,unprecipitatively,no insult,0.0,None
tickicide,tickicide,no insult,0.0,None
Vernen,Vernen,no insult,0.0,None
caqueteuses,caqueteuses,no insult,0.0,None
ballbag,bollocks,sexual anatomy / sexual acts,1.0,Mild
ultraviolet,ultraviolet,no insult,0.0,None
s-lut,slut,sexual orientation / gender,1.8,Strong
collencyte,collencyte,no insult,0.0,None
wet back,wetback,racial / ethnic slurs,2.8,Severe
arsehole,arse,sexual anatomy / sexual acts,1.4,Mild
Saprolegniaceae,Saprolegniaceae,no insult,0.0,None
chrysin,chrysin,no insult,0.0,None
worm-eater,worm-eater,no insult,0.0,None
fucks,fuck,sexual anatomy / sexual acts,2.0,Strong
tear-lamenting,tear-lamenting,no insult,0.0,None
ceratoglossal,ceratoglossal,no insult,0.0,None
styphnate,styphnate,no insult,0.0,None
dick nibbler,dick,sexual anatomy / sexual acts,2.4,Strong
prediscriminator,prediscriminator,no insult,0.0,None
boll0ck,bollocks,sexual anatomy / sexual acts,1.0,Mild
mofo ass,motherfucker,sexual anatomy / sexual acts,2.4,Strong
superresponsibility,superresponsibility,no insult,0.0,None
vulnifical,vulnifical,no insult,0.0,None
luxuria,luxuria,no insult,0.0,None
merorganization,merorganization,no insult,0.0,None
cardiodilator,cardiodilator,no insult,0.0,None
aphid's,aphid's,no insult,0.0,None
lithoglyphic,lithoglyphic,no insult,0.0,None
futhamucka,motherfucker,sexual anatomy / sexual acts,2.6,Severe
raghead,raghead,racial / ethnic slurs,3.0,Severe
single-handed,single-handed,no insult,0.0,None
Medaryville,Medaryville,no insult,0.0,None
suck my dick,dick,sexual anatomy / sexual acts,2.2,Strong
dogie style,doggy style,sexual anatomy / sexual acts,1.0,Mild
jeeing,jeeing,no insult,0.0,None
strategically,strategically,no insult,0.0,None
indeciduate,indeciduate,no insult,0.0,None
semestrial,semestrial,no insult,0.0,None
frank-almoign,frank-almoign,no insult,0.0,None
pyelitic,pyelitic,no insult,0.0,None
mongrel,mongrel,racial / ethnic slurs,2.6,Severe
vaguenesses,vaguenesses,no insult,0.0,None
Ethelind,Ethelind,no insult,0.0,None
chinavirus,china virus,political,2.6,Severe
zills,zills,no insult,0.0,None
fulminatory,fulminatory,no insult,0.0,None
rock-frequenting,rock-frequenting,no insult,0.0,None
biotchez,bitch,sexual orientation / gender,1.4,Mild
angiocholitis,angiocholitis,no insult,0.0,None
yerbal,yerbal,no insult,0.0,None
naifly,naifly,no insult,0.0,None
Huidobro,Huidobro,no insult,0.0,None
Bernardino,Bernardino,no insult,0.0,None
c0cksuccer,cock,sexual anatomy / sexual acts,2.0,Strong
oversubscribe,oversubscribe,no insult,0.0,None
unhealable,unhealable,no insult,0.0,None
nonoptimistically,nonoptimistically,no insult,0.0,None
Moyock,Moyock,no insult,0.0,None
bumhole,bum,sexual anatomy / sexual acts,1.0,Mild
alined,alined,no insult,0.0,None
unsleepably,unsleepably,no insult,0.0,None
nikkas,nigger,racial / ethnic slurs,3.0,Severe
man meat,meat,sexual anatomy / sexual acts,1.2,Mild
sore-wearied,sore-wearied,no insult,0.0,None
plicater,plicater,no insult,0.0,None
bracketted,bracketted,no insult,0.0,None
religation,religation,no insult,0.0,None
imban,imban,no insult,0.0,None
astigmatisms,astigmatisms,no insult,0.0,None
wirelesses,wirelesses,no insult,0.0,None
fucking bastard,fuck,sexual anatomy / sexual acts,2.4,Strong
distress,distress,no insult,0.0,None
brinded,brinded,no insult,0.0,None
bitchez,bitch,sexual orientation / gender,1.4,Mild
cross-file,cross-file,no insult,0.0,None
motherfcks,motherfucker,sexual anatomy / sexual acts,2.8,Severe
semperannual,semperannual,no insult,0.0,None
proreality,proreality,no insult,0.0,None
trimotors,trimotors,no insult,0.0,None
buzziest,buzziest,no insult,0.0,None
Anti-jesuit,Anti-jesuit,no insult,0.0,None
psoralen,psoralen,no insult,0.0,None
bonk juice,bonk,bodily fluids / excrement,1.6,Strong
funnel-fashioned,funnel-fashioned,no insult,0.0,None
Berkman,Berkman,no insult,0.0,None
harpagon,harpagon,no insult,0.0,None
dick breath,dick,sexual anatomy / sexual acts,2.0,Strong
strawy,strawy,no insult,0.0,None
Thebe,Thebe,no insult,0.0,None
anastalsis,anastalsis,no insult,0.0,None
dune coon,coon,racial / ethnic slurs,3.0,Severe
unmaterial,unmaterial,no insult,0.0,None
changeless,changeless,no insult,0.0,None
shoe-horn,shoe-horn,no insult,0.0,None
swartrutting,swartrutting,no insult,0.0,None
RGU,RGU,no insult,0.0,None
slag,slag,sexual orientation / gender,1.6,Strong
fcuk,fuck,sexual anatomy / sexual acts,2.0,Strong
r3t@rded,retarded,mental disability,2.8,Severe
kryptonite,kryptonite,no insult,0.0,None
thyroprival,thyroprival,no insult,0.0,None
chubascos,chubascos,no insult,0.0,None
bullshit,shit,bodily fluids / excrement,1.2,Mild
shitbrain,shit,bodily fluids / excrement,2.0,Strong
monacetin,monacetin,no insult,0.0,None
shitblimp,shit,bodily fluids / excrement,1.6,Strong
cajones,cojones,sexual anatomy / sexual acts,1.0,Mild
semivulcanized,semivulcanized,no insult,0.0,None
4r5e,arse,sexual anatomy / sexual acts,1.4,Mild
briolette,briolette,no insult,0.0,None
batshite,shit,bodily fluids / excrement,1.2,Mild
mudderfuk,motherfucker,sexual anatomy / sexual acts,2.2,Strong
twa+,twat,sexual anatomy / sexual acts,1.2,Mild
Hamamatsu,Hamamatsu,no insult,0.0,None
berths,berths,no insult,0.0,None
shiesterfuckhead,fuck,sexual anatomy / sexual acts,2.2,Strong
purr,purr,no insult,0.0,None
cawk muncher,cock,sexual anatomy / sexual acts,2.4,Strong
radiopharmaceutical,radiopharmaceutical,no insult,0.0,None
jagoff,jack off,sexual anatomy / sexual acts,1.0,Mild
suck off,suck,sexual anatomy / sexual acts,1.8,Strong
wool-producing,wool-producing,no insult,0.0,None
omnicorporeal,omnicorporeal,no insult,0.0,None
localizable,localizable,no insult,0.0,None
cuestas,cuestas,no insult,0.0,None
isazoxy,isazoxy,no insult,0.0,None
cocksuckas,cock,sexual anatomy / sexual acts,2.4,Strong
Vasari,Vasari,no insult,0.0,None
ozonic,ozonic,no insult,0.0,None
ass kisser,ass,sexual anatomy / sexual acts,1.2,Mild
charminger,charminger,no insult,0.0,None
c00n,coon,racial / ethnic slurs,2.8,Severe
jizzbags,jizz,bodily fluids / excrement,2.4,Strong
dipshit,shit,bodily fluids / excrement,1.4,Mild
quenchable,quenchable,no insult,0.0,None
cawkmuncher,cock,sexual anatomy / sexual acts,2.2,Strong
g0ddamn,damn,religious offense,1.2,Mild
heterotopy,heterotopy,no insult,0.0,None
pastime,pastime,no insult,0.0,None
nigre,nigger,racial / ethnic slurs,3.0,Severe
mufdive,muff,sexual anatomy / sexual acts,1.8,Strong
fuckhead,fuck,sexual anatomy / sexual acts,2.2,Strong
folly-painting,folly-painting,no insult,0.0,None
Roumelia,Roumelia,no insult,0.0,None
biotches,bitch,sexual orientation / gender,1.2,Mild
scurvyweed,scurvyweed,no insult,0.0,None
pinkroot,pinkroot,no insult,0.0,None
m0therfuckeds,motherfucker,sexual anatomy / sexual acts,2.8,Severe
bi+ch,bitch,sexual orientation / gender,1.4,Mild
undemocratisation,undemocratisation,no insult,0.0,None
jiggabooboo,jiggaboo,racial / ethnic slurs,2.4,Strong
ungentlemanly,ungentlemanly,no insult,0.0,None
cardamon,cardamon,no insult,0.0,None
enfume,enfume,no insult,0.0,None
loculus,loculus,no insult,0.0,None
l3itch,bitch,sexual orientation / gender,1.4,Mild
Dickey,Dickey,no insult,0.0,None
incarnalised,incarnalised,no insult,0.0,None
ladboyz,ladyboy,sexual orientation / gender,1.4,Mild
seashores,seashores,no insult,0.0,None
saintlinesses,saintlinesses,no insult,0.0,None
d1ckhead,dick,sexual anatomy / sexual acts,1.8,Strong
suppresion,suppresion,no insult,0.0,None
trimmed,trimmed,no insult,0.0,None
pratiques,pratiques,no insult,0.0,None
heart-wounded,heart-wounded,no insult,0.0,None
thingumadoodle,thingumadoodle,no insult,0.0,None
phucks,fuck,sexual anatomy / sexual acts,2.0,Strong
musicophilosophical,musicophilosophical,no insult,0.0,None
hyphenated,hyphenated,no insult,0.0,None
printanier,printanier,no insult,0.0,None
horseshit,shit,bodily fluids / excrement,1.2,Mild
HCTDS,HCTDS,no insult,0.0,None
jeapordized,jeapordized,no insult,0.0,None
tachibana,tachibana,no insult,0.0,None
overpointed,overpointed,no insult,0.0,None
g0ddamnit,damn,religious offense,1.0,Mild
up-and-up,up-and-up,no insult,0.0,None
cohos,cohos,no insult,0.0,None
coot,coot,sexual anatomy / sexual acts,1.6,Strong
octopussy,pussy,sexual anatomy / sexual acts,1.2,Mild
niga,nigger,racial / ethnic slurs,2.6,Severe
sweetbells,sweetbells,no insult,0.0,None
amassment,amassment,no insult,0.0,None
ampullate,ampullate,no insult,0.0,None
throwaway,throwaway,no insult,0.0,None
asswhole,ass,sexual anatomy / sexual acts,1.4,Mild
universitas,universitas,no insult,0.0,None
fvcker,fuck,sexual anatomy / sexual acts,2.4,Strong
supermechanical,supermechanical,no insult,0.0,None
hypersceptical,hypersceptical,no insult,0.0,None
Lifton,Lifton,no insult,0.0,None
nailhead,nailhead,no insult,0.0,None
castable,castable,no insult,0.0,None
turdcutter,turd,other / general insult,1.6,Strong
cocksuckers,cock,sexual anatomy / sexual acts,2.2,Strong
seal,seal,no insult,0.0,None
upward,upward,no insult,0.0,None
purple-glowing,purple-glowing,no insult,0.0,None
nobbyhead,knob,sexual anatomy / sexual acts,1.4,Mild
axle-bending,axle-bending,no insult,0.0,None
cockmonger,cock,sexual anatomy / sexual acts,2.2,Strong
yamstchik,yamstchik,no insult,0.0,None
slop-molded,slop-molded,no insult,0.0,None
decumbence,decumbence,no insult,0.0,None
through-toll,through-toll,no insult,0.0,None
Hennahane,Hennahane,no insult,0.0,None
knobes,knob,sexual anatomy / sexual acts,1.2,Mild
wunna,wunna,no insult,0.0,None
sylvae,sylvae,no insult,0.0,None
betrim,betrim,no insult,0.0,None
recordatively,recordatively,no insult,0.0,None
gumshoe,gumshoe,no insult,0.0,None
motherfvcked,motherfucker,sexual anatomy / sexual acts,2.6,Severe
turdhead,turd,bodily fluids / excrement,1.6,Strong
titillation,titillation,no insult,0.0,None
unicameralist,unicameralist,no insult,0.0,None
spider-line,spider-line,no insult,0.0,None
cryonics,cryonics,no insult,0.0,None
knotless,knotless,no insult,0.0,None
tooling,tooling,no insult,0.0,None
Iynx,Iynx,no insult,0.0,None
apiaries,apiaries,no insult,0.0,None
Rhynchopinae,Rhynchopinae,no insult,0.0,None
Blagonravov,Blagonravov,no insult,0.0,None
mothafuckasses,motherfucker,sexual anatomy / sexual acts,3.0,Severe
extratension,extratension,no insult,0.0,None
morindone,morindone,no insult,0.0,None
shut the fuck up,fuck,other / general insult,2.2,Strong
superprinting,superprinting,no insult,0.0,None
niggerz,nigger,racial / ethnic slurs,3.0,Severe
higgers,nigger,racial / ethnic slurs,3.0,Severe
unpicked,unpicked,no insult,0.0,None
seppa,seppa,no insult,0.0,None
hyperobtrusively,hyperobtrusively,no insult,0.0,None
thermoplastic,thermoplastic,no insult,0.0,None
chauri,chauri,no insult,0.0,None
trichlorfon,trichlorfon,no insult,0.0,None
Larentia,Larentia,no insult,0.0,None
fuckheaded,fuck,sexual anatomy / sexual acts,2.6,Severe
cunts,cunt,sexual anatomy / sexual acts,2.6,Severe
Slemp,Slemp,no insult,0.0,None
godd@mnit,damn,religious offense,1.4,Mild
crosscheck,crosscheck,no insult,0.0,None
scumfvck,fuck,sexual anatomy / sexual acts,2.4,Strong
herodionine,herodionine,no insult,0.0,None
Kathy,Kathy,no insult,0.0,None
snowmaker,snowmaker,no insult,0.0,None
poet-priest,poet-priest,no insult,0.0,None
inbreathed,inbreathed,no insult,0.0,None
Herzegovina,Herzegovina,no insult,0.0,None
paperhanging,paperhanging,no insult,0.0,None
carpetmunchers,carpet muncher,sexual orientation / gender,2.2,Strong
bezzant,bezzant,no insult,0.0,None
interdistrict,interdistrict,no insult,0.0,None
flexuose,flexuose,no insult,0.0,None
phrenia,phrenia,no insult,0.0,None
Ichthyoidea,Ichthyoidea,no insult,0.0,None
mudderfukker,motherfucker,sexual anatomy / sexual acts,2.6,Severe
Presb,Presb,no insult,0.0,None
erythrocytometer,erythrocytometer,no insult,0.0,None
applejohn,applejohn,no insult,0.0,None
multiwarhead,multiwarhead,no insult,0.0,None
tuberiferous,tuberiferous,no insult,0.0,None
fugly,fuck,physical attributes,1.4,Mild
arse-fucker,fuck,sexual anatomy / sexual acts,2.6,Severe
ruledom,ruledom,no insult,0.0,None
